iter	Passed	Remaining
415	2807	3941
416	2814	3934
417	2822	3929
418	2829	3923
419	2836	3916
420	2843	3910
421	2849	3902
422	2856	3895
423	2861	3887
424	2868	3880
425	2874	3873
426	2881	3866
427	2887	3859
428	2893	3851
429	2899	3843
430	2907	3838
431	2913	3830
432	2919	3822
433	2925	3814
434	2931	3807
435	2939	3801
436	2946	3795
437	2952	3788
438	2959	3782
439	2966	3775
440	2975	3771
441	2982	3765
442	2989	3758
443	2995	3750
444	3000	3742
445	3006	3734
446	3012	3726
447	3017	3718
448	3024	3711
449	3030	3703
450	3036	3695
451	3040	3686
452	3046	3679
453	3052	3670
454	3057	3662
455	3063	3654
456	3068	3646
457	3074	3638
458	3081	3631
459	3087	3624
460	3094	3617
461	3100	3610
462	3106	3602
463	3112	3595
464	3119	3589
465	3127	3583
466	3135	3578
467	3141	3571
468	3147	3563
469	3153	3555
470	3160	3549
471	3167	3542
472	3173	3535
473	3179	3527
474	3186	3521
475	3193	3515
476	3200	3508
477	3206	3502
478	3214	3495
479	3221	3489
480	3228	3483
481	3234	3476
482	3242	3470
483	3249	3464
484	3256	3457
485	3263	3451
486	3270	3444
487	3278	3439
488	3288	3436
489	3296	3430
490	3303	3424
491	3312	3420
492	3319	3413
493	3325	3406
494	3338	3405
495	3351	3405
496	3363	3403
497	3374	3401
498	3381	3395
499	3388	3388
500	3395	3381
501	3402	3375
502	3411	3370
503	3417	3362
504	3423	3355
505	3430	3348
506	3435	3340
507	3441	3333
508	3447	3325
509	3453	3318
510	3459	3310
511	3465	3303
512	3471	3295
513	3477	3287
514	3482	3279
515	3488	3272
516	3494	3264
517	3500	3257
518	3506	3249
519	3513	3242
520	3519	3235
521	3525	3228
522	3532	3221
523	3537	3213
524	3543	3205
525	3549	3198
526	3555	3191
527	3561	3183
528	3567	3175
529	3573	3168
530	3578	3160
531	3584	3153
532	3590	3146
533	3597	3139
534	3602	3131
535	3607	3123
536	3613	3115
537	3619	3107
538	3624	3099
539	3630	3092
540	3636	3085
541	3642	3077
542	3648	3070
543	3654	3063
544	3660	3055
545	3665	3047
546	3671	3040
547	3677	3033
548	3684	3027
549	3691	3019
550	3697	3012
551	3702	3005
552	3708	2997
553	3714	2990
554	3719	2982
555	3725	2975
556	3731	2967
557	3737	2960
558	3743	2953
559	3749	2945
560	3755	2938
561	3760	2931
562	3766	2923
563	3772	2916
564	3778	2909
565	3784	2901
566	3791	2895
567	3797	2888
568	3801	2879
569	3809	2873
570	3816	2867
571	3823	2860
572	3829	2853
