iter	Logloss
0	0.6819665171
1	0.6710630595
2	0.6595075938
3	0.6483706919
4	0.6376838481
5	0.628243281
6	0.6180043589
7	0.608347758
8	0.5994206696
9	0.5909110514
10	0.5821239115
11	0.5735357564
12	0.5652097677
13	0.5571600901
14	0.5499454091
15	0.5426500702
16	0.5350124868
17	0.5290184682
18	0.522110438
19	0.515863945
20	0.5091775818
21	0.5025939535
22	0.4961861903
23	0.4901830953
24	0.4841812541
25	0.4792703451
26	0.4739104869
27	0.4687656886
28	0.4636273015
29	0.4584778392
30	0.4534484075
31	0.448661087
32	0.4440201797
33	0.4398339717
34	0.4352882284
35	0.4312602717
36	0.4269774679
37	0.4230986176
38	0.4192256393
39	0.41542954
40	0.4119075267
41	0.4086655706
42	0.4049879227
43	0.40212736
44	0.3997043635
45	0.3967240016
46	0.3935174128
47	0.3905948181
48	0.3874477437
49	0.3846971766
50	0.3819432602
51	0.3789601593
52	0.3761365407
53	0.3735294876
54	0.3711482493
55	0.3693132401
56	0.3667151922
57	0.3645376002
58	0.3627485021
59	0.3606100057
60	0.3583276774
61	0.3560731684
62	0.3540348612
63	0.3519488169
64	0.3504207153
65	0.3483508428
66	0.3462417221
67	0.3440676193
68	0.3422721812
69	0.3406274745
70	0.3392809906
71	0.338028127
72	0.3363752747
73	0.3347757365
74	0.3329501775
75	0.3313376287
76	0.3297889201
77	0.3283923238
78	0.3267982051
79	0.3254299723
80	0.3240794525
81	0.3226455282
82	0.321232549
83	0.3199296646
84	0.3190652644
85	0.318056015
86	0.3170181656
87	0.3160741348
88	0.3151564891
89	0.3139305776
90	0.3127636948
91	0.3114646123
92	0.3100904999
93	0.3090836767
94	0.3079032873
95	0.3067703222
96	0.3055902964
97	0.3044475428
98	0.3032633972
99	0.3021684036
100	0.3013852081
101	0.3003211136
102	0.2992446314
103	0.298629125
104	0.2977464701
105	0.2969177195
106	0.2961082738
107	0.295366511
108	0.2946335398
109	0.2939168447
110	0.2933958944
111	0.2927892507
112	0.2921978734
113	0.2912524516
114	0.2903710251
115	0.2897086805
116	0.2890549049
117	0.2884760971
118	0.2876992467
119	0.2870006142
120	0.2863441251
121	0.2855613391
122	0.2850534108
123	0.2843225021
124	0.2838344828
125	0.2831231219
126	0.282470609
127	0.2818896701
128	0.2812570038
129	0.2807936783
130	0.2803368492
131	0.2799016647
132	0.2792790438
133	0.2787765427
134	0.2783143247
135	0.2779593302
136	0.2773956375
137	0.2769969381
138	0.276566129
139	0.276141154
140	0.275574028
141	0.2750530497
142	0.2746181742
143	0.2741163991
144	0.2735744019
145	0.2731050822
146	0.2726889547
147	0.2723053958
148	0.2717417132
149	0.2713699977
150	0.2709609299
151	0.2705352008
152	0.2700173976
153	0.2695923869
154	0.2690952365
155	0.2687074432
156	0.2682510579
157	0.2678891271
158	0.2675008621
159	0.2671755384
160	0.2669038175
161	0.2665924416
162	0.2662244441
163	0.2658393389
164	0.2655307287
165	0.2652637787
166	0.2649811859
167	0.2646747742
168	0.2643142815
169	0.2640286382
170	0.2637769241
171	0.2635495962
172	0.2632051837
173	0.2628807576
174	0.2625474345
175	0.2622051277
176	0.2619042015
177	0.2616823552
178	0.261404789
179	0.2611028875
180	0.2608187688
181	0.2606449916
182	0.2603526726
183	0.2601130892
184	0.2598861376
185	0.2596084709
186	0.2593885066
187	0.2591556676
188	0.2589613571
189	0.2587358017
190	0.2585158348
191	0.2582001444
192	0.2579304784
193	0.2576924032
194	0.2574341774
195	0.257214578
196	0.256953701
197	0.2567466354
198	0.2565202026
199	0.2562345225
200	0.2559670766
201	0.2556938744
202	0.2555076014
203	0.2553565152
204	0.2552264646
205	0.254963651
206	0.2547104212
207	0.2545376333
208	0.2543246867
209	0.2541479975
210	0.2539763082
211	0.2538607101
212	0.2537080828
213	0.253595197
214	0.2534417915
215	0.2532600555
216	0.25311328
217	0.2529238752
218	0.2527338041
219	0.2525465698
220	0.2523801181
221	0.2521882197
222	0.2519520429
223	0.251802461
224	0.2516271044
225	0.2514777565
226	0.2513164164
227	0.251215402
228	0.2510907618
229	0.2509309629
230	0.2507933795
231	0.2506724523
232	0.2505512873
233	0.2503381233
234	0.2502515208
235	0.2500618426
236	0.2499032377
237	0.2497579536
238	0.2495877062
239	0.2494880447
240	0.2494018237
241	0.2492433039
242	0.249093942
243	0.248923406
244	0.2487820422
245	0.2486178551
246	0.2485429408
247	0.2484313787
248	0.2482505175
249	0.2481446737
250	0.2480336787
251	0.2478952103
252	0.247765241
253	0.2476526705
254	0.2475254033
255	0.2474053078
256	0.2473324076
257	0.2471769193
258	0.2470905851
259	0.2469994761
260	0.2468646329
261	0.2467659658
262	0.2466988894
263	0.2465592372
264	0.2464425303
265	0.2463277423
266	0.2461664963
267	0.2460244675
268	0.2459311841
269	0.2458107961
270	0.2457071838
271	0.2455873184
272	0.2455160777
273	0.2454010073
274	0.2452959137
275	0.2451749636
276	0.2450869433
277	0.2449917183
278	0.2449098854
279	0.24483535
280	0.2447341359
281	0.2446392428
282	0.2445169182
283	0.2444166311
284	0.2443368874
285	0.2442004992
286	0.2441402499
287	0.244066232
288	0.243970946
289	0.2438519758
290	0.2437503268
291	0.2436692009
292	0.243566733
293	0.2434896736
294	0.2434206289
295	0.2432929624
296	0.2432049319
297	0.2431038996
298	0.2430311495
299	0.2429298147
300	0.2428691241
301	0.2428093096
302	0.2427330437
303	0.2426507734
304	0.2425392583
305	0.2424786708
306	0.2423826574
307	0.2422872124
308	0.2422121976
309	0.2421540222
310	0.2420632846
311	0.2420083834
312	0.2419396629
313	0.2418842087
314	0.2418037771
315	0.2416916733
316	0.2416008364
317	0.2415563304
318	0.2414865685
319	0.2414139239
320	0.2413514938
321	0.2412799377
322	0.2411874619
323	0.2411116155
324	0.2410675634
325	0.2410042165
326	0.2409426943
327	0.2408315074
328	0.2407535044
329	0.240705382
330	0.24065566
331	0.24060827
332	0.2405331535
333	0.240496755
334	0.2404314308
335	0.240366094
336	0.2403098857
337	0.2402623266
338	0.2402215055
339	0.2401645953
340	0.2400966733
341	0.2400090078
342	0.2399444097
343	0.239890447
344	0.2398259494
345	0.2397777468
346	0.2397237981
347	0.2396893145
348	0.2396003227
349	0.2395477943
350	0.2395173505
351	0.2394624112
352	0.2394152311
353	0.2393637772
354	0.2392852325
355	0.2392467206
356	0.2391990789
357	0.2391469065
358	0.2391007284
359	0.2390390498
360	0.2390048014
361	0.2389180476
362	0.2388637899
363	0.238808918
364	0.2387661997
365	0.2387278582
366	0.2386782481
367	0.2386384672
368	0.2385943693
369	0.2385613149
370	0.2385074145
371	0.2384605726
372	0.2383943125
373	0.2383368543
374	0.2383022893
375	0.238255319
376	0.2382078425
377	0.2381434898
378	0.2380918884
379	0.2380097605
380	0.2379314117
381	0.2378797696
382	0.2378178482
383	0.237781175
384	0.2377296511
385	0.2376904958
386	0.2376332563
387	0.2376011772
388	0.2375562464
389	0.2374889094
390	0.2374521179
391	0.2373881454
